year,month,origin,blend,roast_level,type,sales,unit_price
2015,6,"Kenya, Colombia",Blend,medium,Evergreen,46.5,5.202424242424242
2015,6,Panama,Single,light,Seasonal,15.0,20.0
2015,6,Yemen,Single,medium,Seasonal,3.75,9.066666666666666
2015,6,Zambia,Single,dark,Seasonal,260.0,9.763074074074074
2015,7,Brazil,Single,dark,Seasonal,972.0,9.418947658402208
2015,7,Colombia,Single,dark,Evergreen,337.25,10.593615384615383
2015,7,Colombia,Single,medium,Seasonal,115.0,9.1
2015,7,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,2625.75,13.246906906906917
2015,7,Ethiopia,Single,medium,Evergreen,648.25,10.03930894308943
2015,7,Ethiopia,Single,medium,Seasonal,255.0,9.28881632653061
2015,7,Haiti,Single,dark,Seasonal,10.5,12.486666666666668
2015,7,Kenya,Single,medium,Seasonal,180.0,9.0
2015,7,"Kenya, Colombia",Blend,medium,Evergreen,701.5,9.24647619047619
2015,7,Panama,Single,light,Seasonal,0.75,17.706666666666667
2015,7,Yemen,Single,medium,Seasonal,0.75,0.0
2015,7,Zambia,Single,dark,Seasonal,141.25,10.23066666666667
2015,8,Brazil,Single,dark,Seasonal,933.0,9.255542857142858
2015,8,Colombia,Single,dark,Evergreen,314.75,10.575614035087717
2015,8,Colombia,Single,medium,Seasonal,60.0,9.1
2015,8,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,2881.5,11.240555555555558
2015,8,Ethiopia,Single,medium,Evergreen,448.0,8.315093749999999
2015,8,Ethiopia,Single,medium,Seasonal,231.75,8.58269696969697
2015,8,Haiti,Single,dark,Seasonal,105.0,8.15911111111111
2015,8,Kenya,Single,medium,Seasonal,320.0,9.0
2015,8,"Kenya, Colombia",Blend,medium,Evergreen,790.0,9.224068376068377
2015,8,Mexico,Single,medium,Seasonal,78.0,8.294722222222221
2015,8,Yemen,Single,medium,Seasonal,0.75,0.0
2015,8,Zambia,Single,dark,Seasonal,26.5,10.143250000000002
2015,9,Brazil,Single,dark,Seasonal,865.5,8.988891156462588
2015,9,Colombia,Single,dark,Evergreen,434.5,10.854147186147188
2015,9,Colombia,Single,medium,Seasonal,110.0,9.1
2015,9,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,2774.0,11.039370967741936
2015,9,Ethiopia,Single,medium,Evergreen,447.0,8.595991561181435
2015,9,Ethiopia,Single,medium,Seasonal,63.0,9.05222222222222
2015,9,Haiti,Single,dark,Seasonal,138.0,9.278850574712642
2015,9,Kenya,Single,medium,Seasonal,295.0,9.0
2015,9,"Kenya, Colombia",Blend,medium,Evergreen,840.0,9.558912280701753
2015,9,Mexico,Single,medium,Seasonal,590.25,9.820894977168948
2015,9,Yemen,Single,medium,Seasonal,1.5,0.0
2015,9,Zambia,Single,dark,Seasonal,0.0,10.473333333333333
2015,10,Brazil,Single,dark,Seasonal,944.25,7.046121693121696
2015,10,Colombia,Single,dark,Evergreen,460.75,11.269490740740737
2015,10,Colombia,Single,medium,Seasonal,150.0,9.1
2015,10,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,2972.5,11.300974051896214
2015,10,Ethiopia,Single,medium,Evergreen,428.25,8.228000000000002
