year,month,origin,blend,roast_level,type,sales,unit_price
2016,3,Rwanda,Single,light,Seasonal,2504.25,0.0
2016,3,Sumatra,Single,dark,Seasonal,752.5,0.0
2016,4,Brazil,Single,dark,Seasonal,1560.0,0.0
2016,4,Colombia,Single,dark,Evergreen,558.0,1.3340229885057469
2016,4,Colombia,Single,light,Seasonal,129.75,0.0
2016,4,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,483.75,1.1505454545454545
2016,4,Ethiopia,Single,medium,Evergreen,405.0,0.9528735632183908
2016,4,Ethiopia,Single,medium,Seasonal,17.75,0.0
2016,4,"Kenya, Colombia",Blend,medium,Evergreen,9.75,0.0
2016,4,Panama,Single,light,Seasonal,110.0,0.0
2016,4,Rwanda,Single,light,Seasonal,2006.5,0.0
2016,4,Sumatra,Single,dark,Seasonal,0.75,0.0
2016,5,Brazil,Single,dark,Seasonal,1388.5,0.0
2016,5,Colombia,Single,dark,Evergreen,547.5,1.0897652582159623
2016,5,Colombia,Single,light,Seasonal,371.25,0.0
2016,5,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,611.25,0.15285024154589372
2016,5,Ethiopia,Single,medium,Evergreen,1080.0,0.2547463768115942
2016,5,Ethiopia,Single,medium,Seasonal,1623.5,0.0
2016,5,"Kenya, Colombia",Blend,medium,Evergreen,0.75,0.0
2016,5,Panama,Single,light,Seasonal,78.0,0.0
2016,5,Rwanda,Single,light,Seasonal,46.5,0.0
2016,6,Brazil,Single,dark,Seasonal,610.25,0.0
2016,6,Colombia,Single,dark,Evergreen,483.75,0.1535185185185185
2016,6,Colombia,Single,light,Seasonal,252.75,0.0
2016,6,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,626.0,0.4275675675675676
2016,6,Ethiopia,Single,medium,Evergreen,1676.5,0.1390356394129979
2016,6,Ethiopia,Single,medium,Seasonal,2680.5,0.0
2016,6,Guatemala,Single,medium,Seasonal,178.5,0.0
2016,6,"Kenya, Colombia",Blend,medium,Evergreen,9.75,2.0
2016,6,Nicaragua,Single,medium,Seasonal,189.0,0.0
2016,6,Panama,Single,light,Seasonal,69.0,0.0
2016,7,Brazil,Single,dark,Seasonal,306.0,0.0
2016,7,Colombia,Single,dark,Evergreen,275.75,0.0
2016,7,Colombia,Single,light,Seasonal,6.0,0.0
2016,7,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,438.0,0.0
2016,7,Ethiopia,Single,medium,Evergreen,982.0,0.0
2016,7,Ethiopia,Single,medium,Seasonal,1817.25,0.0
2016,7,Guatemala,Single,medium,Seasonal,506.25,0.0
2016,7,Kenya,Single,medium,Seasonal,119.25,0.0
2016,7,"Kenya, Colombia",Blend,medium,Evergreen,0.75,0.0
2016,7,Nicaragua,Single,medium,Seasonal,447.0,0.0
2016,8,Brazil,Single,dark,Seasonal,27.0,0.0
2016,8,Colombia,Single,dark,Evergreen,385.5,0.0
2016,8,Colombia,Single,light,Seasonal,64.5,0.0
2016,8,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,552.0,0.0
2016,8,Ethiopia,Single,medium,Evergreen,998.75,0.0
2016,8,Ethiopia,Single,medium,Seasonal,2116.25,0.0
2016,8,Guatemala,Single,medium,Seasonal,671.5,0.0
2016,8,Kenya,Single,medium,Seasonal,540.75,0.0
2016,8,"Kenya, Colombia",Blend,medium,Evergreen,3.75,0.0
2016,8,Mexico,Single,medium,Seasonal,476.0,0.0
2016,8,Myanmar,Single,medium,Seasonal,197.5,1.0555555555555556
2016,8,Nicaragua,Single,medium,Seasonal,498.0,0.22323232323232325
2016,9,Brazil,Single,dark,Seasonal,6.0,0.0
2016,9,Colombia,Single,dark,Evergreen,9.0,0.0
2016,9,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,564.75,0.0
